,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,26.504555,3.1657114,-9.5694275,5.6278596,-4.9872675,47.609703,24.747314,-51.64442,130.89227,-32.349995,36.562683,-66.84734,-52.23492,3.430938,75.599266,95.879166,-43.460938,42.430496,52.861496,9.162495,12.85246,30.445614,-76.101616,23.451023,-28.891752,13.997351,16.893002,33.39877,2.7845907,-26.154545
1,18.096897,-61.552284,-20.50143,50.830845,70.16735,-41.90601,-52.045307,-11.675254,2.8879874,10.027312,-94.755775,18.455036,105.44733,60.11939,1.1155252,-4.446786,29.899887,49.425705,61.02627,-84.84427,-34.253883,-5.03016,66.48918,1.4234009,-4.498938,68.9535,35.24773,37.629913,-28.946144,17.026321
2,-52.284687,-26.934288,-46.29174,9.232515,3.7133105,0.8657292,-1.8690153,2.0077174,-0.48122114,10.1954565,-76.35534,-21.88043,9.867522,28.38014,-80.38906,-40.21042,-2.9492989,57.77844,37.64061,-48.611607,-17.798153,25.53442,18.138815,-3.8354163,-32.23883,-7.978394,83.53645,39.05948,14.756996,38.159702
3,9.20258,42.304955,45.22821,76.0467,-42.677444,33.786785,-16.797209,-46.723072,15.77962,50.79818,-62.290154,10.820883,71.36576,-37.47818,-21.27199,-1.3573871,-7.766433,12.93578,35.1203,-34.872643,130.55862,39.81358,38.271133,43.253693,-8.630759,95.87168,70.69117,-45.841385,-27.942354,24.916046
4,44.078983,44.98924,-19.030457,24.826202,62.15706,49.042965,-44.266163,15.996093,-0.051103108,38.402332,-66.05155,0.7919468,112.996086,87.934875,6.740728,1.8778758,41.105164,1.2245529,7.965776,-36.168415,-22.084652,-74.85475,54.361664,68.44387,-1.712688,116.6764,0.417666,19.68613,9.507496,21.010248
5,40.54459,77.092705,53.466946,-40.828304,-26.128832,47.03754,-19.401821,11.862627,38.124294,19.24074,-7.7715063,29.858688,-24.379877,-72.192505,74.5851,1.105006,-81.87386,75.716064,5.8377976,-59.85387,-144.21057,-40.353733,-20.97171,-43.81662,-34.518578,0.13340634,12.552348,37.49771,-39.29275,-52.30152
6,-39.45515,-24.584654,19.903378,-64.68783,-20.974142,-10.359792,-32.863636,20.245504,22.986511,-2.0909548,19.321787,76.873314,-25.816732,-1.2415882,31.976496,27.433079,24.362041,63.785736,-70.83986,-5.1847367,72.43655,-24.259293,10.12691,-47.43464,-32.418793,63.91654,-2.150338,48.301586,63.721844,23.475985
7,127.433174,59.91891,-54.005566,14.113963,38.20431,-1.7704273,34.82975,-76.84966,-15.409433,14.955987,114.8292,-109.5279,7.6327105,46.664684,5.4805126,79.8676,-27.15225,18.898663,-42.56813,-64.1378,56.39946,5.1559467,-46.993053,20.46246,-6.114118,4.1068416,31.830406,-15.894412,-3.648745,70.96766
8,96.36167,79.631874,-31.57158,37.470024,8.602507,-0.55881345,-47.256485,-98.39167,-77.461494,40.552414,-43.264126,-52.190434,42.34542,31.383144,-43.26552,12.3452425,25.37415,-3.8243403,5.6514225,-18.078024,35.44527,21.431068,-5.8438406,43.174736,-19.436535,90.43714,56.577995,15.067287,72.74873,33.76381
9,90.44888,29.319286,66.87575,-39.492466,-90.317406,-82.6171,23.351976,-11.357372,67.80143,52.37223,109.71808,15.040107,-41.199078,61.949512,43.093243,105.95671,70.57078,116.11177,-71.52493,-63.513275,-52.841957,52.961887,-54.041695,44.043404,-45.572243,104.32562,-64.99303,-40.63863,-22.967089,32.31923
10,-21.349548,-63.97156,78.76263,-64.84958,8.149297,102.535774,6.397972,7.891062,-98.7833,18.758831,-49.555298,-44.387535,-34.671577,-37.10471,63.909924,-0.43439415,-8.510006,24.95566,-132.61365,29.290009,13.826861,2.1872573,49.523655,-44.492947,29.36404,37.868168,-7.1028104,24.30824,-22.911015,-2.4837573
11,25.490053,-41.68228,-7.9227467,31.70483,-35.416977,0.60124433,56.304188,16.163034,-6.945013,32.7506,40.232426,-86.35676,-43.383778,57.30825,82.0392,128.84906,-52.73589,-29.970873,-20.856613,-8.148203,32.22921,58.823494,-1.5478442,-16.063927,-22.046408,82.63273,-10.232967,37.15696,-94.25913,-53.440968
12,-23.146982,-72.46013,1.1131613,-36.86021,-13.334269,88.95869,5.822334,4.2651496,-158.14525,-15.585046,-26.829266,-23.077633,0.75697434,-84.55358,53.87538,16.154722,-48.44678,9.888779,-118.50214,18.736925,-3.272471,7.608434,79.03364,-42.053116,49.40115,27.054003,-33.05376,48.113514,-41.97519,-31.181221
13,-18.024595,41.046288,-96.52333,-58.19121,-7.842918,13.788049,-18.518084,9.432521,59.588825,27.432907,61.619457,33.361027,-49.83821,22.96389,24.657217,-90.32335,1.0459193,-70.53855,-42.23331,-12.968169,67.35825,-35.730625,98.79208,83.64341,-5.7394605,-46.798683,67.94758,-12.338397,-8.322235,-62.542145
14,-8.367783,50.3405,66.60128,32.501266,31.803005,72.039116,-56.28539,-12.618643,49.20883,31.493055,10.508887,105.42612,-58.04588,-136.54001,121.606865,-57.133083,-58.13498,-3.6153767,47.452267,88.821594,3.7620826,-17.310135,-80.026085,-8.373573,-19.57351,35.162872,23.971209,46.669495,27.019382,49.286743
15,-9.034024,-67.42336,-26.89241,-49.717773,-36.279343,49.65886,55.074886,29.563375,-133.80656,6.925013,-30.715525,-33.366993,-23.74973,-38.635193,-4.25669,42.16206,-73.677536,23.299736,-117.56938,-22.136759,-24.131117,-7.399111,66.20808,-41.46241,9.45228,5.509169,-21.779696,8.151851,-17.93924,-46.81366
16,36.740982,-108.7409,7.6303864,-45.38936,-11.644592,48.74465,5.9862385,55.990337,-51.777664,68.13834,-10.050749,37.69302,-10.113461,-100.26233,84.55614,-10.337421,-59.671654,-34.975998,33.40083,125.23406,15.497014,-0.053548682,-3.554656,28.866001,16.391102,41.945034,33.140305,131.17651,9.034578,28.688147
17,111.03638,45.95475,1.9592698,-10.899837,60.61174,-14.667062,17.941275,-64.642715,-57.732784,76.88638,63.514153,-50.857464,70.80641,121.80201,-94.108086,81.8147,-44.501747,-21.989431,-42.558174,-55.09284,8.335329,60.409523,-6.6348543,-4.020419,2.6240268,60.69875,23.81235,-16.560638,42.379925,90.47786
18,22.452726,-0.37590408,26.46751,-70.31951,24.907267,46.93394,11.593137,-8.336408,52.5695,49.754223,-59.397633,3.2071106,-18.268295,-61.635113,47.951683,62.96993,-69.16872,89.194084,10.612713,12.408863,-29.848042,-11.902101,0.3859561,29.655796,-11.928653,-61.567616,35.25456,-32.32514,-14.724928,-24.405441
